16887;246436;190125;7615;4.5836370
3430;42413;32435;1618;1.2697680
3696;49558;34977;1704;1.0393970
3052;39049;28360;1403;0.7596880
11159;161854;119123;5019;4.1897430
8192;114175;83955;3766;2.2376730
18374;263823;209573;8208;5.1325390
17207;252106;193018;7725;5.4651190
11078;156056;118329;4980;3.2841660
13410;200110;145586;6006;3.8828560
12471;174180;135721;5590;3.7368500
2347;30608;20985;1088;0.5915590
13816;209340;151505;6225;5.2421970
2514;30170;23069;1165;0.6397030
16317;248001;181866;7393;4.6437560
11235;166658;118851;5049;3.2358980
17715;267070;198808;7970;5.1439850
3218;42216;30005;1470;0.8312540
18201;261453;208095;8122;5.1178010
12798;194625;137037;5766;3.6138060
11824;173592;126502;5412;3.3434480
8480;114934;87974;3883;2.4058910
8539;117513;88843;3814;2.6936770
18192;268935;205768;8154;5.5412230
6772;92116;68566;3106;2.1359270
19994;304940;228324;8802;5.8632030
13613;200988;148459;6215;6.4341730
13021;184973;142105;5827;4.2035540
15447;222322;171541;6947;4.2651820
18015;283081;201873;8081;5.3620880
5985;81774;59508;2726;2.0764960
16607;249277;185208;7460;4.7354400
8093;107913;84369;3738;2.2153920
15068;224863;166190;6851;4.4915720
6395;87312;64311;2885;1.8075520
13855;206054;150950;6315;3.8621280
9641;152130;100176;4317;3.0617800
11561;166297;124001;5186;3.1753620
16063;232092;179182;7217;4.4316620
12737;178645;138731;5809;3.7673270
4756;61453;46270;2175;1.6759890
10603;153039;112440;4817;3.1461970
8173;117723;84284;3746;2.3335030
18008;274787;202979;8032;4.9709690
5998;78500;60053;2757;1.5616970
6515;87850;65583;3045;1.8918390
2478;30530;22709;1154;0.8295150
5108;67153;50119;2363;1.3195020
15291;213820;171043;6892;4.6693210
16302;246555;181083;7332;4.4334640
19710;294275;224992;8657;5.6316030
15301;223474;169496;6859;4.4452560
13751;197239;151549;6222;5.0189950
1145;12968;9587;543;0.2538220
8208;112075;84572;3779;2.2178370
1976;22796;17911;925;0.4889850
17814;270121;199053;7940;4.9637240
2691;36140;24613;1238;1.2650340
4652;62275;44967;2123;1.6554210
12117;177039;130927;5437;3.5248170
13236;186403;145400;6031;3.6211400
757;8120;6159;361;0.2001230
2329;28017;21212;1100;0.6168310
5305;71370;52040;2493;1.4765490
15658;231707;174489;7117;4.4872430
2469;30462;22689;1163;0.6755670
